steps: 126000   train: 1.117bpc val: 1.094bpc   ms/batch: 629.8 span_avg: 190   span_max: 4501
steps: 127000   train: 1.117bpc val: 1.101bpc   ms/batch: 618.3 span_avg: 190   span_max: 4497
steps: 128000   train: 1.104bpc val: 1.102bpc   ms/batch: 613.6 span_avg: 191   span_max: 4504
steps: 129000   train: 1.110bpc val: 1.094bpc   ms/batch: 612.5 span_avg: 191   span_max: 4499
steps: 128000   train: 1.104bpc val: 1.102bpc   ms/batch: 613.6 span_avg: 191   span_max: 4504
steps: 129000   train: 1.110bpc val: 1.094bpc   ms/batch: 612.5 span_avg: 191   span_max: 4499
steps: 130000   train: 1.117bpc val: 1.101bpc   ms/batch: 611.5 span_avg: 191   span_max: 4503
steps: 131000   train: 1.103bpc val: 1.102bpc   ms/batch: 608.7 span_avg: 191   span_max: 4499
steps: 132000   train: 1.114bpc val: 1.088bpc   ms/batch: 606.7 span_avg: 192   span_max: 4501
steps: 133000   train: 1.104bpc val: 1.098bpc   ms/batch: 605.1 span_avg: 192   span_max: 4503
steps: 134000   train: 1.110bpc val: 1.099bpc   ms/batch: 608.8 span_avg: 193   span_max: 4503
steps: 135000   train: 1.111bpc val: 1.091bpc   ms/batch: 609.6 span_avg: 192   span_max: 4502
steps: 136000   train: 1.100bpc val: 1.097bpc   ms/batch: 609.2 span_avg: 192   span_max: 4502
steps: 137000   train: 1.110bpc val: 1.101bpc   ms/batch: 609.0 span_avg: 193   span_max: 4505
steps: 138000   train: 1.111bpc val: 1.086bpc   ms/batch: 610.1 span_avg: 192   span_max: 4502
steps: 139000   train: 1.097bpc val: 1.093bpc   ms/batch: 608.8 span_avg: 193   span_max: 4500
steps: 140000   train: 1.103bpc val: 1.101bpc   ms/batch: 607.3 span_avg: 193   span_max: 4500
steps: 141000   train: 1.111bpc val: 1.087bpc   ms/batch: 608.4 span_avg: 193   span_max: 4502
steps: 142000   train: 1.097bpc val: 1.093bpc   ms/batch: 610.0 span_avg: 193   span_max: 4502
steps: 143000   train: 1.108bpc val: 1.100bpc   ms/batch: 612.3 span_avg: 193   span_max: 4500
steps: 144000   train: 1.097bpc val: 1.093bpc   ms/batch: 611.5 span_avg: 193   span_max: 4500
steps: 145000   train: 1.104bpc val: 1.087bpc   ms/batch: 611.2 span_avg: 194   span_max: 4502
steps: 146000   train: 1.105bpc val: 1.099bpc   ms/batch: 610.1 span_avg: 194   span_max: 4497
steps: 147000   train: 1.093bpc val: 1.092bpc   ms/batch: 611.2 span_avg: 194   span_max: 4502


k=8
100 1.314
130 1.22
160 1.156
190 1.10

100 1.314
120 1.26
130 1.22
140 1.20
150 1.180
160 1.156
170 1.147
180 1.12
190 1.10



1.199 141
1.189 142
1.18 150
1.17 153
1.161 157
1.150 163
1.142 167
1.13 174
1.12 181
1.11 188
1.100 193
